DeviceName,Serial_Number
inhusz1-ldw3040.corp.cyient.com,00329-10380-23679-AA802
inhusz1-ldw3044.corp.cyient.com,00330-80000-00000-AA900
inhusz1-ldw3046.corp.cyient.com,00329-00000-00003-AA416
inhusz1-ldw3051.corp.cyient.com,00330-80000-00000-AA425
inhusz1-ldw3052.corp.cyient.com,00329-10380-23679-AA020
inhusz1-ldw3054.corp.cyient.com,00329-00000-00003-AA166
inhusz1-ldw3056.corp.cyient.com,00330-80000-00000-AA114
inhusz1-ldw3057.corp.cyient.com,00329-00000-00003-AA245
inhusz1-ldw3085.corp.cyient.com,00330-80000-00000-AA575
inhusz1-ldw3086.corp.cyient.com,00330-80000-00000-AA279
inhusz1-ldw3087.corp.cyient.com,00331-60000-00000-AA178
inhusz1-ldw3090.corp.cyient.com,00330-80000-00000-AA412
inhusz1-ldw3093.corp.cyient.com,00330-80000-00000-AA768
inhusz1-ldw3094.corp.cyient.com,00329-10380-75727-AA316
inhusz1-ldw3096.corp.cyient.com,00329-10380-75727-AA761
inhusz1-ldw3097.corp.cyient.com,00329-10380-75727-AA994
inhusz1-ldw3098.corp.cyient.com,00330-80000-00000-AA832
inhusz1-ldw3101.corp.cyient.com,00329-10380-23679-AA431
inhusz1-ldw3102.corp.cyient.com,00329-10380-75727-AA493
inhusz1-ldw3105.corp.cyient.com,00329-10380-75727-AA250
inhusz1-ldw3107.corp.cyient.com,00329-00000-00003-AA687
inhusz1-ldw3109.corp.cyient.com,00329-10380-00000-AA869
inhusz1-ldw311.corp.cyient.com,00329-10380-23679-AA037
inhusz1-ldw3112.corp.cyient.com,00329-10380-00000-AA693
inhusz1-ldw3114.corp.cyient.com,00329-10380-75727-AA512
inhusz1-ldw3115.corp.cyient.com,00329-10380-75727-AA172
inhusz1-ldw3119.corp.cyient.com,00329-10380-00000-AA813
inhusz1-ldw3121.corp.cyient.com,00330-80000-00000-AA306
inhusz1-ldw3130.corp.cyient.com,00329-10380-23679-AA335
inhusz1-ldw3131.corp.cyient.com,00329-10380-23679-AA048
inhusz1-ldw3132.corp.cyient.com,00329-00000-00003-AA463
inhusz1-ldw3133.corp.cyient.com,00329-10380-23679-AA942
inhusz1-ldw3134.corp.cyient.com,00329-10380-75727-AA404
inhusz1-ldw3136.corp.cyient.com,00329-00000-00003-AA022
inhusz1-ldw3148.corp.cyient.com,00329-00000-00003-AA059
inhusz1-ldw3154.corp.cyient.com,00329-10380-75727-AA257
inhusz1-ldw3155.corp.cyient.com,00329-00000-00003-AA664
inhusz1-ldw3158.corp.cyient.com,00329-00000-00003-AA039
inhusz1-ldw3160.corp.cyient.com,00329-10380-00000-AA407
inhusz1-ldw3163.corp.cyient.com,00329-10380-00000-AA364
inhusz1-ldw3165.corp.cyient.com,00329-10380-00000-AA837
inhusz1-ldw3166.corp.cyient.com,00329-10380-23679-AA720
inhusz1-ldw3167.corp.cyient.com,00330-80000-00000-AA614
inhusz1-ldw3168.corp.cyient.com,00330-80000-00000-AA149
inhusz1-ldw3169.corp.cyient.com,00329-10380-75727-AA094
inhusz1-ldw3171.corp.cyient.com,00329-10380-23679-AA037
inhusz1-ldw3173.corp.cyient.com,00330-80000-00000-AA058
inhusz1-ldw3177.corp.cyient.com,00330-80000-00000-AA491
inhusz1-ldw3178.corp.cyient.com,00329-00000-00003-AA239
inhusz1-ldw3179.corp.cyient.com,00329-10380-23679-AA246
inhusz1-ldw3180.corp.cyient.com,00329-10380-23679-AA399
inhusz1-ldw3181.corp.cyient.com,00329-10380-75727-AA892
inhusz1-ldw3182.corp.cyient.com,00329-00000-00003-AA594
inhusz1-ldw3183.corp.cyient.com,00329-00000-00003-AA201
inhusz1-ldw3184.corp.cyient.com,00329-10380-75727-AA824
inhusz1-ldw3186.corp.cyient.com,00329-10380-75727-AA574
inhusz1-ldw3187.corp.cyient.com,00329-10380-23679-AA903
inhusz1-ldw3188.corp.cyient.com,00329-10380-75727-AA107
inhusz1-ldw3256.corp.cyient.com,00329-10380-00000-AA083
inhusz1-ldw3257.corp.cyient.com,00329-10380-75727-AA756
inhusz1-ldw3258.corp.cyient.com,00329-10380-23679-AA810
inhusz1-ldw3259.corp.cyient.com,00329-00000-00003-AA748
inhusz1-ldw326.corp.cyient.com,00329-00000-00003-AA060
inhusz1-ldw3289.corp.cyient.com,00330-80000-00000-AA718
inhusz1-ldw3301.corp.cyient.com,00329-00000-00003-AA597
inhusz1-ldw3337.corp.cyient.com,00330-80000-00000-AA054
inhusz1-ldw3339.corp.cyient.com,00330-80000-00000-AA356
inhusz1-ldw3340.corp.cyient.com,00329-10380-23679-AA037
inhusz1-ldw3341.corp.cyient.com,00329-00000-00003-AA452
inhusz1-ldw3344.corp.cyient.com,00329-10380-75727-AA810
inhusz1-ldw3348.corp.cyient.com,00329-10380-75727-AA045
inhusz1-ldw3349.corp.cyient.com,00329-00000-00003-AA066
inhusz1-ldw3371.corp.cyient.com,00329-00000-00003-AA539
inhusz1-ldw3373.corp.cyient.com,00329-10380-23679-AA037
inhusz1-ldw3388.corp.cyient.com,00329-10380-23679-AA095
inhusz1-ldw3400.corp.cyient.com,00329-10380-23679-AA536
inhusz1-ldw3402.corp.cyient.com,00329-10380-00000-AA364
inhusz1-ldw3404.corp.cyient.com,00329-10380-75727-AA565
